Velocidad de entrada;Velocidad medida por el motor;Velocidad giroscopio;;;;;
115;117,216;94,5;;;;;
115;117,216;96,45;;;;;
115;111,888;96,2;;;;;
115;119,88;96,84;;;;;
115;111,888;96,95;;;;;
115;117,216;102,33;;;;;
115;114,552;93,74;;;;;
115;111,888;100,58;115;3,249448689;115,6176;97,91266667;17,70493333
105;106,56;92,61;;;;;
105;103,896;86,73;;;;;
105;106,56;95,85;;;;;
105;106,56;85,86;;;;;
105;106,56;93,21;;;;;
105;106,56;99,17;;;;;
105;106,56;88,8;;;;;
105;106,56;87,69;;;;;
105;106,56;94,71;;;;;
105;106,56;86,27;;;;;
105;106,56;96,96;;;;;
105;106,56;91,2;;;;;
105;106,56;91,98;;;;;
105;106,56;96,6;;;;;
105;106,56;90,8;;;;;
105;109,224;88,06;;;;;
105;103,896;95,89;;;;;
105;109,224;87,71;;;;;
105;106,56;95,93;;;;;
105;109,224;90,85;;;;;
105;106,56;89,76;;;;;
105;106,56;98,8;;;;;
105;109,224;97,01;;;;;
105;106,56;90,08;;;;;
105;106,56;92,64;;;;;
105;106,56;88,37;;;;;
105;106,56;93,73;;;;;
105;109,224;98,47;;;;;
105;109,224;85,92;;;;;
105;106,56;96,95;105;4,208712761;106,9152;92,287;14,6282
95;95,904;88,25;;;;;
95;93,24;90,76;;;;;
95;95,904;89,16;;;;;
95;95,904;88;;;;;
95;95,904;88,86;;;;;
95;95,904;86,93;;;;;
95;95,904;89,07;;;;;
95;95,904;97,46;;;;;
95;93,24;88,78;;;;;
95;95,904;92,25;;;;;
95;95,904;89;;;;;
95;95,904;96,77;;;;;
95;98,568;89,22;;;;;
95;95,904;94,47;;;;;
95;93,24;88,7;;;;;
95;95,904;90,6;;;;;
95;98,568;88,49;;;;;
95;95,904;85,56;;;;;
95;98,568;89,31;;;;;
95;95,904;87,6;;;;;
95;95,904;88,53;;;;;
95;95,904;88,12;;;;;
95;93,24;88,95;;;;;
95;95,904;87,05;;;;;
95;95,904;87,95;;;;;
95;95,904;85,74;;;;;
95;95,904;88,4;;;;;
95;95,904;87,92;;;;;
95;95,904;89,2;;;;;
95;95,904;87,02;95;2,742632681;95,8152;89,27066667;6,544533333
85;87,912;73,86;;;;;
85;85,248;79,82;;;;;
85;87,912;72,12;;;;;
85;85,248;77,31;;;;;
85;85,248;78,85;;;;;
85;85,248;78,85;;;;;
85;87,912;73,65;;;;;
85;85,248;75,73;;;;;
85;85,248;77,07;;;;;
85;85,248;77,99;;;;;
85;85,248;72,88;;;;;
85;85,248;85,89;;;;;
85;87,912;73,73;;;;;
85;85,248;73,16;;;;;
85;85,248;80,09;;;;;
85;85,248;78,08;;;;;
85;85,248;72,75;;;;;
85;85,248;87,48;;;;;
85;87,912;78,79;;;;;
85;85,248;76,14;;;;;
85;85,248;72,32;;;;;
85;87,912;73,98;;;;;
85;87,912;72,39;;;;;
85;85,248;74,82;;;;;
85;85,248;75,29;;;;;
85;85,248;81,11;;;;;
85;85,248;72,23;;;;;
85;85,248;77,67;;;;;
85;87,912;75,15;;;;;
85;85,248;72,25;85;3,899355458;85,9584;76,38166667;9,576733333
75;74,592;74,86;;;;;
75;74,592;70,24;;;;;
75;74,592;74,15;;;;;
75;74,592;70,27;;;;;
75;77,256;74,08;;;;;
75;74,592;70,06;;;;;
75;74,592;74,53;;;;;
75;71,928;69,07;;;;;
75;74,592;75,31;;;;;
75;74,592;63,01;;;;;
75;74,592;70,7;;;;;
75;74,592;64,94;;;;;
75;74,592;74,98;;;;;
75;77,256;71,44;;;;;
75;71,928;75,28;;;;;
75;74,592;69,87;;;;;
75;74,592;73,56;;;;;
75;77,256;68,59;;;;;
75;71,928;75,41;;;;;
75;74,592;70,48;;;;;
75;77,256;74,93;;;;;
75;74,592;64,88;;;;;
75;74,592;71,33;;;;;
75;74,592;64,76;;;;;
75;71,928;71,37;;;;;
75;74,592;69,47;;;;;
75;74,592;74,18;;;;;
75;77,256;70,11;;;;;
75;74,592;75,03;;;;;
75;74,592;67,78;75;3,575000056;74,6808;71,15566667;3,525133333
65;63,936;54,47;;;;;
65;63,936;56,05;;;;;
65;66,6;55,89;;;;;
65;63,936;56,55;;;;;
65;66,6;56,15;;;;;
65;66,6;57,55;;;;;
65;63,936;59,85;;;;;
65;63,936;55,63;;;;;
65;63,936;55,12;;;;;
65;63,936;56,63;;;;;
65;63,936;55,02;;;;;
65;63,936;58,44;;;;;
65;66,6;56,1;;;;;
65;63,936;58,02;;;;;
65;66,6;56,96;;;;;
65;66,6;58,69;;;;;
65;63,936;55,76;;;;;
65;61,272;57,21;;;;;
65;66,6;55,56;;;;;
65;63,936;54,5;;;;;
65;63,936;56,2;;;;;
65;61,272;55,12;;;;;
65;66,6;54,54;;;;;
65;66,6;57,02;;;;;
65;63,936;54,47;;;;;
65;63,936;58,27;;;;;
65;66,6;60,53;;;;;
65;66,6;59,03;;;;;
65;63,936;54,07;;;;;
65;63,936;57,84;65;1,688973843;64,7352;56,57466667;8,160533333
55;55,944;50,47;;;;;
55;53,28;48,83;;;;;
55;55,944;51,95;;;;;
55;58,608;50,73;;;;;
55;55,944;53,91;;;;;
55;55,944;47,16;;;;;
55;55,944;50,85;;;;;
55;53,28;49,08;;;;;
55;50,616;51,03;;;;;
55;55,944;47,06;;;;;
55;55,944;54,4;;;;;
55;53,28;48,55;;;;;
55;55,944;55,66;;;;;
55;55,944;50,24;;;;;
55;55,944;52,27;;;;;
55;55,944;49,32;;;;;
55;53,28;52,15;;;;;
55;55,944;48,03;;;;;
55;55,944;54,99;;;;;
55;53,28;49,74;;;;;
55;53,28;50,8;;;;;
55;55,944;48,03;;;;;
55;55,944;53,49;;;;;
55;58,608;47,52;;;;;
55;55,944;53,92;;;;;
55;55,944;51,42;;;;;
55;53,28;51,11;;;;;
55;55,944;50,73;;;;;
55;53,28;55,03;;;;;
55;55,944;46,7;55;2,561430567;55,2336;50,839;4,3946
45;42,624;43,85;;;;;
45;47,952;41,91;;;;;
45;45,288;41,95;;;;;
45;45,288;41,89;;;;;
45;45,288;44,27;;;;;
45;45,288;41,27;;;;;
45;45,288;42,98;;;;;
45;47,952;41,8;;;;;
45;45,288;42,73;;;;;
45;47,952;41,39;;;;;
45;42,624;43,32;;;;;
45;47,952;39,81;;;;;
45;45,288;44,66;;;;;
45;45,288;42,26;;;;;
45;42,624;43,52;;;;;
45;45,288;41,2;;;;;
45;45,288;45,59;;;;;
45;47,952;41,57;;;;;
45;45,288;45,11;;;;;
45;45,288;41,5;;;;;
45;45,288;44,01;;;;;
45;45,288;42,15;;;;;
45;45,288;46,66;;;;;
45;47,952;38,98;;;;;
45;47,952;46,5;;;;;
45;42,624;42,4;;;;;
45;45,288;43,48;;;;;
45;47,952;42,33;;;;;
45;45,288;42,89;;;;;
45;47,952;41,31;45;1,775881487;45,732;42,77633333;2,955666667
35;34,632;35,15;;;;;
35;34,632;38,73;;;;;
35;34,632;34,63;;;;;
35;34,632;36,33;;;;;
35;34,632;33,96;;;;;
35;37,296;34,92;;;;;
35;34,632;34,9;;;;;
35;34,632;36,95;;;;;
35;34,632;34,83;;;;;
35;34,632;35,51;;;;;
35;37,296;34,21;;;;;
35;37,296;36,31;;;;;
35;37,296;36,02;;;;;
35;34,632;33,56;;;;;
35;37,296;31,51;;;;;
35;34,632;34,28;;;;;
35;34,632;34,94;;;;;
35;34,632;36,15;;;;;
35;37,296;35,83;;;;;
35;34,632;39,04;;;;;
35;34,632;36,73;;;;;
35;34,632;39,47;;;;;
35;37,296;33,35;;;;;
35;34,632;35,31;;;;;
35;37,296;36,33;;;;;
35;37,296;39,04;;;;;
35;34,632;36,13;;;;;
35;34,632;38,78;;;;;
35;34,632;36,31;;;;;
35;34,632;38,31;35;1,897324674;35,4312;35,91733333;0,486133333
25;26,64;24,69;;;;;
25;26,64;22,85;;;;;
25;26,64;24,66;;;;;
25;26,64;21,61;;;;;
25;26,64;26,01;;;;;
25;29,304;22,11;;;;;
25;26,64;26,68;;;;;
25;23,976;23,24;;;;;
25;23,976;26,64;;;;;
25;26,64;24,65;;;;;
25;26,64;26,79;;;;;
25;26,64;26,38;;;;;
25;23,976;25,26;;;;;
25;26,64;24,86;;;;;
25;26,64;25;;;;;
25;26,64;22,93;;;;;
25;26,64;25,19;;;;;
25;23,976;21,41;;;;;
25;23,976;25,56;;;;;
25;23,976;23,43;;;;;
25;23,976;25,56;;;;;
25;23,976;22,32;;;;;
25;26,64;25,02;;;;;
25;23,976;20,92;;;;;
25;26,64;22,92;;;;;
25;23,976;24,9;;;;;
25;26,64;25,6;;;;;
25;23,976;26,53;;;;;
25;26,64;23,34;;;;;
25;21,312;24,12;25;1,686841434;25,5744;24,37266667;1,201733333
15;15,984;7,61;;;;;
15;15,984;11,69;;;;;
15;15,984;11,66;;;;;
15;13,32;14,02;;;;;
15;15,984;15,4;;;;;
15;18,648;15,49;;;;;
15;15,984;11,49;;;;;
15;10,656;13,63;;;;;
15;15,984;15,18;;;;;
15;13,32;13,47;;;;;
15;15,984;8,67;;;;;
15;10,656;14,5;;;;;
15;15,984;14,78;;;;;
15;15,984;15,9;;;;;
15;15,984;7,02;;;;;
15;15,984;16,3;;;;;
15;15,984;8,25;;;;;
15;15,984;16,75;;;;;
15;15,984;11,31;;;;;
15;15,984;14,95;;;;;
15;15,984;14,44;;;;;
15;15,984;16,2;;;;;
15;15,984;12,89;;;;;
15;15,984;15,3;;;;;
15;15,984;7,64;;;;;
15;13,32;14,63;;;;;
15;15,984;11,38;;;;;
15;15,984;11,55;;;;;
15;15,984;8,08;;;;;
15;13,32;13,85;15;2,954808296;15,3624;12,801;2,5614
