Velocidad de entrada;Velocidad medida por el motor;Velocidad giroscopio;;;;
105;106,56;89,6;;;;
105;109,224;90,43;;;;
105;106,56;86,35;;;;
105;106,56;91,07;;;;
105;109,224;93,69;;;;
105;109,224;93,12;;;;
105;106,56;88,46;;;;
105;109,224;92,03;;;;
105;106,56;86,54;;;;
105;106,56;91,76;;;;
105;106,56;89,89;;;;
105;106,56;91,89;;;;
105;103,896;84,52;;;;
105;106,56;88,31;;;;
105;109,224;91,87;;;;
105;106,56;92,67;;;;
105;103,896;90,34;;;;
105;106,56;89,76;;;;
105;106,56;87,44;;;;
105;106,56;90,23;;;;
105;106,56;88,53;105;107,0928;90,00866667;2,363563548
95;95,904;84,39;;;;
95;98,568;78,95;;;;
95;95,904;79,68;;;;
95;95,904;79,41;;;;
95;95,904;85,11;;;;
95;95,904;79,24;;;;
95;95,904;89,22;;;;
95;95,904;82;;;;
95;93,24;77,18;;;;
95;95,904;82,33;;;;
95;95,904;84,89;;;;
95;98,568;79,9;;;;
95;95,904;85,2;;;;
95;98,568;75,17;;;;
95;95,904;86,45;;;;
95;95,904;84,8;;;;
95;95,904;81,79;;;;
95;93,24;69,69;;;;
95;95,904;84,19;;;;
95;95,904;82,68;;;;
95;95,904;85,76;;;;
95;95,904;87,15;;;;
95;95,904;84,63;;;;
95;98,568;78,61;;;;
95;95,904;80,87;;;;
95;95,904;83,93;;;;
95;95,904;84,5;;;;
95;93,24;78,02;;;;
95;95,904;86,08;;;;
95;95,904;82,18;95;95,9928;82,13333333;4,052685217
