Conexion,Identificadores,Numero de modulos,Pos. Objetivo,Pos. Final 1,Pos. Final 2,Pos. Final 3
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.807897]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.393722],[-0.424401]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.807897]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.393722],[-0.424401]
superior,"[1, 2, 3]",3,0.785398,[0.777217],[0.792557],[0.81301]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.393722],[-0.424401]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.807897]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.393722],[-0.424401]
superior,"[1, 2, 3]",3,0.785398,[0.777217],[0.792557],[0.807897]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.393722],[-0.424401]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.807897]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.393722],[-0.424401]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.807897]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.393722],[-0.424401]
superior,"[1, 2, 3]",3,0.785398,[0.777217],[0.792557],[0.807897]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.388608],[-0.424401]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.807897]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.393722],[-0.429515]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.807897]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.393722],[-0.424401]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.807897]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.393722],[-0.424401]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.81301]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.393722],[-0.424401]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.81301]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.393722],[-0.429515]
superior,"[1, 2, 3]",3,0.785398,[0.777217],[0.792557],[0.81301]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.393722],[-0.424401]
superior,"[1, 2, 3]",3,0.785398,[0.78233],[0.792557],[0.807897]
superior,"[1, 2, 3]",3,-0.392699,[-0.398835],[-0.393722],[-0.424401]
