sequence,step,increments,prev_j_positions,prev_j_velocities,prev_j_forces,prev_base_pos_x,prev_base_pos_y,prev_base_pos_z,prev_base_ori_alpha,prev_base_ori_beta,prev_base_ori_gamma,post_j_positions,post_j_velocities,post_j_forces,post_base_pos_x,post_base_pos_y,post_base_pos_z,post_base_ori_alpha,post_base_ori_beta,post_base_ori_gamma
0,0,"[0.10734341218847976, 0.07281911053057954, 0.16412511930291146, -0.10876480625229472, 0.10493818049631728, -0.0403622164640363, -0.020962340652741024, 0.09010495088889726]","[0.0, 1.5707963705062866, 0.0, 1.5707963705062866, 0.0, 1.5707963705062866, 0.0, 1.5707963705062866]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[None, None, None, None, None, None, None, None]",-2.9802322387695312e-08,2.2351741790771484e-07,0.1183999702334404,-0.0,0.0,-0.0,"[0.10744428634643555, 1.5730278491973877, 0.16115903854370117, 1.4653589725494385, 0.1002359390258789, 1.5384151935577393, -0.01796579360961914, 1.5732481479644775]","[0.07152564078569412, 0.3139498829841614, -0.018310563638806343, -0.1283646821975708, 0.08029945194721222, 0.02937319688498974, 0.071048803627491, -0.8123405575752258]","[-0.0021257163025438786, 1.2005316019058228, -0.05390436202287674, 0.1484367847442627, -0.13047870993614197, 0.33378857374191284, 0.16582831740379333, 1.2007440328598022]",-0.00238831527531147,0.0033509444911032915,0.1188441589474678,-0.0017839048523455858,0.004474029876291752,-0.044258274137973785
0,1,"[-0.10552721067340415, 0.06324025241533798, -0.08180003701473926, -0.1262970179607747, 0.17187726484762866, 0.14757064548454665, -0.0463617396060137, -0.16111420506404822]","[0.10744428634643555, 1.5730278491973877, 0.16115903854370117, 1.4653589725494385, 0.1002359390258789, 1.5384151935577393, -0.01796579360961914, 1.5732481479644775]","[0.07152564078569412, 0.3139498829841614, -0.018310563638806343, -0.1283646821975708, 0.08029945194721222, 0.02937319688498974, 0.071048803627491, -0.8123405575752258]","[-0.0021257163025438786, 1.2005316019058228, -0.05390436202287674, 0.1484367847442627, -0.13047870993614197, 0.33378857374191284, 0.16582831740379333, 1.2007440328598022]",-0.00238831527531147,0.0033509444911032915,0.1188441589474678,-0.0017839048523455858,0.004474029876291752,-0.044258274137973785,"[0.0066089630126953125, 1.5712406635284424, 0.08723640441894531, 1.363450288772583, 0.24055004119873047, 1.5719501972198486, -0.04407310485839844, 1.442216157913208]","[-0.0752449780702591, -0.06618505716323853, 0.1306535005569458, -0.05054478719830513, -0.038147009909152985, 0.19836445152759552, 0.335502952337265, -1.0454187393188477]","[0.03744785115122795, 1.1939456462860107, 0.18975098431110382, 0.8229886293411255, -0.636003851890564, 1.461130142211914, 0.6324294209480286, 0.8289238214492798]",0.0018816913943737745,0.006928269751369953,0.11998803913593292,-0.001255649491213262,0.029610848054289818,-0.030178463086485863
0,2,"[-0.058352784645223435, 0.12215544487506105, -0.083515053902263, -0.019425792121363344, 0.11924681469128869, -0.07320048308926694, 0.034083199514108424, 0.01851045672560496]","[0.0066089630126953125, 1.5712406635284424, 0.08723640441894531, 1.363450288772583, 0.24055004119873047, 1.5719501972198486, -0.04407310485839844, 1.442216157913208]","[-0.0752449780702591, -0.06618505716323853, 0.1306535005569458, -0.05054478719830513, -0.038147009909152985, 0.19836445152759552, 0.335502952337265, -1.0454187393188477]","[0.03744785115122795, 1.1939456462860107, 0.18975098431110382, 0.8229886293411255, -0.636003851890564, 1.461130142211914, 0.6324294209480286, 0.8289238214492798]",0.0018816913943737745,0.006928269751369953,0.11998803913593292,-0.001255649491213262,0.029610848054289818,-0.030178463086485863,"[-0.05220794677734375, 1.57137131690979, 0.007714748382568359, 1.3560802936553955, 0.3219900131225586, 1.5191996097564697, 0.02413320541381836, 1.4757635593414307]","[-0.07414824515581131, -0.14381422102451324, -0.040245093405246735, -0.05455022305250168, 1.1831294298171997, -0.4224781394004822, -0.7645614147186279, 0.2845766842365265]","[0.0038041225634515285, 1.3368443250656128, 0.20625729858875275, 0.7182921767234802, -1.219743013381958, 0.5929244160652161, 0.9350085258483887, 0.40767902135849]",0.0053854514844715595,0.008123357780277729,0.11980009824037552,-0.0008643780602142215,0.014629274606704712,-0.028588181361556053
1,0,"[-0.15465861040550763, -0.1474280888723175, -0.08888605034087703, -0.02892085415577926, -0.13572212231878605, -0.056142412851202035, -0.036115779001569884, 0.06878437415038555]","[-0.0010654926300048828, -0.04230475425720215, 0.0003151893615722656, -0.040885210037231445, 0.0015730857849121094, -0.04210615158081055, -0.0008199214935302734, -0.042119741439819336]","[-0.0061512053944170475, 0.0385761633515358, 0.005245213862508535, -0.0748635083436966, 0.02975466661155224, -0.022363683208823204, -0.04520420730113983, -0.029659299179911613]","[-0.018592823296785355, 0.15814179182052612, 0.0054134889505803585, 0.1937905251979828, 0.03729552775621414, 0.17065177857875824, -0.021091347560286522, 0.21083934605121613]",2.2465297661256045e-05,-0.0007740795845165849,0.03350241482257843,5.278856406221166e-05,0.00027099731960333884,0.0022496681194752455,"[-0.1572279930114746, -0.21942543983459473, -0.09098982810974121, -0.1107330322265625, -0.12429070472717285, -0.13298821449279785, -0.03861355781555176, -0.018286705017089844]","[-0.14648450911045074, -0.07071501761674881, 0.008106239140033722, 0.09040841460227966, -0.1741887778043747, 0.2372267097234726, 0.08807190507650375, -0.0034809145145118237]","[-0.02022095024585724, 0.42211613059043884, -0.031328052282333374, 0.15627631545066833, 0.1770540177822113, 0.46766677498817444, -0.06850549578666687, 0.13348248600959778]",0.0008164318278431892,-0.0009644916281104088,0.03589983284473419,-0.005083313677459955,-0.019439000636339188,0.04584901034832001
1,1,"[-0.13496025227592384, -0.058567320625408856, -0.1686012839947018, 0.06196132395947334, -0.017602159477902522, 0.020719828773027093, 0.1498371368251992, -0.1602379914399263]","[-0.1572279930114746, -0.21942543983459473, -0.09098982810974121, -0.1107330322265625, -0.12429070472717285, -0.13298821449279785, -0.03861355781555176, -0.018286705017089844]","[-0.14648450911045074, -0.07071501761674881, 0.008106239140033722, 0.09040841460227966, -0.1741887778043747, 0.2372267097234726, 0.08807190507650375, -0.0034809145145118237]","[-0.02022095024585724, 0.42211613059043884, -0.031328052282333374, 0.15627631545066833, 0.1770540177822113, 0.46766677498817444, -0.06850549578666687, 0.13348248600959778]",0.0008164318278431892,-0.0009644916281104088,0.03589983284473419,-0.005083313677459955,-0.019439000636339188,0.04584901034832001,"[-0.290679931640625, -0.31456780433654785, -0.26038503646850586, -0.08557653427124023, -0.14319181442260742, -0.15501165390014648, 0.10935020446777344, -0.21279549598693848]","[0.06737715750932693, 0.14262212812900543, 0.012826931662857533, 0.04706387221813202, -0.0017166153993457556, -0.15177741646766663, 0.18100756406784058, 0.14414800703525543]","[0.08488067239522934, 0.4142855107784271, -0.0062713054940104485, 0.132913738489151, 0.0018245514947921038, 0.12399933487176895, -0.13300980627536774, 0.45596376061439514]",0.008868379518389702,-0.0024719098582863808,0.038049452006816864,-0.0058797067031264305,0.0023669980000704527,0.05277397856116295
1,2,"[0.12906576239723694, -0.038511740002387454, 0.0933148742207439, -0.07900472312704496, 0.023606594820205818, 0.11271467341104084, 0.11443892480026445, -0.15215703866478641]","[-0.290679931640625, -0.31456780433654785, -0.26038503646850586, -0.08557653427124023, -0.14319181442260742, -0.15501165390014648, 0.10935020446777344, -0.21279549598693848]","[0.06737715750932693, 0.14262212812900543, 0.012826931662857533, 0.04706387221813202, -0.0017166153993457556, -0.15177741646766663, 0.18100756406784058, 0.14414800703525543]","[0.08488067239522934, 0.4142855107784271, -0.0062713054940104485, 0.132913738489151, 0.0018245514947921038, 0.12399933487176895, -0.13300980627536774, 0.45596376061439514]",0.008868379518389702,-0.0024719098582863808,0.038049452006816864,-0.0058797067031264305,0.0023669980000704527,0.05277397856116295,"[-0.16628098487854004, -0.3880736827850342, -0.16850042343139648, -0.20532965660095215, -0.12113404273986816, -0.08088421821594238, 0.22310686111450195, -0.39621543884277344]","[0.1585008203983307, -0.163126140832901, -0.012159358710050583, -0.09865770488977432, -0.022745154798030853, -0.1601220667362213, -0.03919605165719986, -0.20318050682544708]","[-0.1199708804488182, 0.4942714273929596, 0.0006947614019736648, 0.12754522264003754, -0.0003020038711838424, 0.12757563591003418, -0.05326491594314575, 0.4946346879005432]",0.009409552440047264,-0.003038485534489155,0.04031879082322121,-0.00011017363431164995,0.001992580248042941,0.011319534853100777
